state,Stay At Home Order Date,Emergency Declaration Date
AL,NA,2020-03-13
AK,2020-03-25,2020-03-11
AZ,NA,2020-03-11
AR,NA,2020-03-11
CA,2020-03-19,2020-03-11
CO,2020-03-26,2020-03-10
CT,NA,2020-03-10
DE,2020-03-22,2020-03-12
DC,NA,2020-03-11
FL,2020-03-23,2020-03-09
GA,2020-03-23,2020-03-14
HI,2020-03-23,2020-03-04
ID,2020-03-25,2020-03-13
IL,2020-03-20,2020-03-09
IN,2020-03-23,2020-03-06
IA,NA,2020-03-09
KS,2020-03-28,2020-03-12
KY,NA,2020-03-06
LA,2020-03-22,2020-03-11
ME,NA,2020-03-15
MD,NA,2020-03-05
MA,2020-03-27,2020-03-10
MI,2020-03-23,2020-03-10
MN,2020-03-25,2020-03-13
MS,NA,2020-03-14
MO,NA,2020-03-13
MT,2020-03-26,2020-03-12
NE,NA,2020-03-13
NV,NA,2020-03-13
NH,2020-03-26,2020-03-13
NJ,2020-03-21,2020-03-09
NM,2020-03-23,2020-03-11
NY,2020-03-20,2020-03-07
NC,2020-03-27,2020-03-10
ND,NA,2020-03-13
OH,2020-03-22,2020-03-09
OK,2020-03-24,2020-03-15
OR,2020-03-23,2020-03-05
PA,2020-03-27,2020-03-06
RI,2020-03-28,2020-03-09
SC,NA,2020-03-13
SD,NA,2020-03-13
TN,NA,2020-03-12
TX,2020-03-26,2020-03-13
UT,NA,2020-03-06
VT,2020-03-24,2020-03-13
VA,NA,2020-03-12
WA,2020-03-23,2020-02-29
WV,2020-03-23,2020-03-04
WI,2020-03-24,2020-03-12
WY,NA,2020-03-13
